disease,metric,country_iso3,date,value,unit,source,freq,country_name
covid,cases,IND,1/1/2019,0.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,1/1/2020,100.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,1/1/2021,800000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,1/1/2022,7000000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,1/1/2023,150000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,1/1/2024,30000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,10/1/2019,0.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,10/1/2020,2000000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,10/1/2021,600000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,10/1/2022,200000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,10/1/2023,30000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,10/1/2024,6000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,11/1/2019,0.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,11/1/2020,1500000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,11/1/2021,400000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,11/1/2022,150000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,11/1/2023,25000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,11/1/2024,5000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,12/1/2019,0.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,12/1/2020,1000000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,12/1/2021,300000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,12/1/2022,200000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,12/1/2023,20000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,12/1/2024,4000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,2/1/2019,0.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,2/1/2020,200.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,2/1/2021,600000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,2/1/2022,3000000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,2/1/2023,100000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,2/1/2024,25000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,3/1/2019,0.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,3/1/2020,4000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,3/1/2021,2000000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,3/1/2022,1000000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,3/1/2023,300000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,3/1/2024,20000.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,4/1/2019,0.0,cases,OWID/disease.sh monthly (summarized),M,
covid,cases,IND,4/1/2020,60000.0,cases,OWID/disease.sh monthly (summarized),M,
