disease,metric,country_iso3,date,value,unit,source,freq
covid,cases,IND,1/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,2/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,3/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,4/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,5/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,6/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,7/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,8/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,9/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,10/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,11/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,12/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,1/1/2020,100,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,2/1/2020,200,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,3/1/2020,4000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,4/1/2020,60000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,5/1/2020,180000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,6/1/2020,400000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,7/1/2020,1200000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,8/1/2020,2000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,9/1/2020,2500000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,10/1/2020,2000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,11/1/2020,1500000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,12/1/2020,1000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,1/1/2021,800000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,2/1/2021,600000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,3/1/2021,2000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,4/1/2021,7000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,5/1/2021,9000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,6/1/2021,5000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,7/1/2021,2000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,8/1/2021,1500000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,9/1/2021,1000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,10/1/2021,600000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,11/1/2021,400000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,12/1/2021,300000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,1/1/2022,7000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,2/1/2022,3000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,3/1/2022,1000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,4/1/2022,400000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,5/1/2022,300000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,6/1/2022,200000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,7/1/2022,300000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,8/1/2022,400000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,9/1/2022,300000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,10/1/2022,200000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,11/1/2022,150000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,12/1/2022,200000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,1/1/2023,150000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,2/1/2023,100000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,3/1/2023,300000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,4/1/2023,500000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,5/1/2023,300000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,6/1/2023,100000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,7/1/2023,80000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,8/1/2023,60000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,9/1/2023,40000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,10/1/2023,30000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,11/1/2023,25000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,12/1/2023,20000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,1/1/2024,30000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,2/1/2024,25000,cases,OWID/disease.sh monthly (summarized),M
