disease,metric,country_iso3,date,value,unit,source,freq
tuberculosis,incidence,LKA,1/1/2019,64,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,1/1/2019,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,1/1/2019,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,1/1/2019,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,2/1/2019,64,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,2/1/2019,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,2/1/2019,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,2/1/2019,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,3/1/2019,64,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,3/1/2019,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,3/1/2019,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,3/1/2019,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,4/1/2019,64,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,4/1/2019,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,4/1/2019,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,4/1/2019,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,5/1/2019,64,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,5/1/2019,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,5/1/2019,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,5/1/2019,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,6/1/2019,64,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,6/1/2019,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,6/1/2019,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,6/1/2019,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,7/1/2019,64,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,7/1/2019,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,7/1/2019,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,7/1/2019,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,8/1/2019,64,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,8/1/2019,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,8/1/2019,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,8/1/2019,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,9/1/2019,64,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,9/1/2019,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,9/1/2019,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,9/1/2019,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,10/1/2019,64,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,10/1/2019,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,10/1/2019,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,10/1/2019,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,11/1/2019,64,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,11/1/2019,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,11/1/2019,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,11/1/2019,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,12/1/2019,64,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,12/1/2019,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,12/1/2019,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,12/1/2019,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,1/1/2020,63,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,1/1/2020,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,1/1/2020,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,1/1/2020,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,2/1/2020,63,per_100000,World Bank SH.TBS.INCD (interpolated),M
