disease,metric,country_iso3,date,value,unit,source,freq
tuberculosis,incidence,IND,1/1/2019,188,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,IND,1/1/2019,90,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,IND,1/1/2019,0.32,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
tuberculosis,incidence,IND,1/1/2020,185,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,IND,1/1/2020,91,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,IND,1/1/2020,0.31,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
tuberculosis,incidence,IND,1/1/2021,182,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,IND,1/1/2021,92,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,IND,1/1/2021,0.3,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
tuberculosis,incidence,IND,1/1/2022,179,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,IND,1/1/2022,93,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,IND,1/1/2022,0.29,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
tuberculosis,incidence,IND,1/1/2023,176,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,IND,1/1/2023,93.5,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,IND,1/1/2023,0.28,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
tuberculosis,incidence,IND,1/1/2024,173,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,IND,1/1/2024,94,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,IND,1/1/2024,0.27,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
tuberculosis,incidence,IND,2/1/2024,172.9,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,IND,2/1/2024,94.1,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,IND,2/1/2024,0.27,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
tuberculosis,incidence,IND,3/1/2024,172.8,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,IND,3/1/2024,94.1,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,IND,3/1/2024,0.27,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
tuberculosis,incidence,IND,4/1/2024,172.7,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,IND,4/1/2024,94.2,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,IND,4/1/2024,0.27,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
tuberculosis,incidence,IND,5/1/2024,172.6,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,IND,5/1/2024,94.2,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,IND,5/1/2024,0.27,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
tuberculosis,incidence,IND,6/1/2024,172.5,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,IND,6/1/2024,94.3,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,IND,6/1/2024,0.27,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
tuberculosis,incidence,IND,7/1/2024,172.4,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,IND,7/1/2024,94.3,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,IND,7/1/2024,0.27,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
tuberculosis,incidence,IND,8/1/2024,172.3,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,IND,8/1/2024,94.4,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,IND,8/1/2024,0.27,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
tuberculosis,incidence,IND,9/1/2024,172.2,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,IND,9/1/2024,94.4,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,IND,9/1/2024,0.27,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
tuberculosis,incidence,IND,10/1/2024,172.1,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,IND,10/1/2024,94.5,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,IND,10/1/2024,0.27,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
tuberculosis,incidence,IND,11/1/2024,172,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,IND,11/1/2024,94.5,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,IND,11/1/2024,0.27,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
tuberculosis,incidence,IND,12/1/2024,172,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,IND,12/1/2024,94.5,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,IND,12/1/2024,0.27,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
