disease,metric,country_iso3,date,value,unit,source,freq
dengue,cases,WLD,1/1/2019,350000,cases,WHO GHO (interpolated from yearly),M
dengue,cases,LKA,1/1/2019,8400,cases,WHO GHO (interpolated from yearly),M
dengue,cases,IND,1/1/2019,15000,cases,WHO GHO (interpolated from yearly),M
dengue,cases,WLD,2/1/2019,350000,cases,WHO GHO (interpolated from yearly),M
dengue,cases,LKA,2/1/2019,8400,cases,WHO GHO (interpolated from yearly),M
dengue,cases,IND,2/1/2019,15000,cases,WHO GHO (interpolated from yearly),M
dengue,cases,WLD,3/1/2019,350000,cases,WHO GHO (interpolated from yearly),M
dengue,cases,LKA,3/1/2019,8400,cases,WHO GHO (interpolated from yearly),M
dengue,cases,IND,3/1/2019,15000,cases,WHO GHO (interpolated from yearly),M
dengue,cases,WLD,4/1/2019,350000,cases,WHO GHO (interpolated from yearly),M
dengue,cases,LKA,4/1/2019,8400,cases,WHO GHO (interpolated from yearly),M
dengue,cases,IND,4/1/2019,15000,cases,WHO GHO (interpolated from yearly),M
dengue,cases,WLD,5/1/2019,350000,cases,WHO GHO (interpolated from yearly),M
dengue,cases,LKA,5/1/2019,8400,cases,WHO GHO (interpolated from yearly),M
dengue,cases,IND,5/1/2019,15000,cases,WHO GHO (interpolated from yearly),M
dengue,cases,WLD,6/1/2019,350000,cases,WHO GHO (interpolated from yearly),M
dengue,cases,LKA,6/1/2019,8400,cases,WHO GHO (interpolated from yearly),M
dengue,cases,IND,6/1/2019,15000,cases,WHO GHO (interpolated from yearly),M
dengue,cases,WLD,7/1/2019,350000,cases,WHO GHO (interpolated from yearly),M
dengue,cases,LKA,7/1/2019,8400,cases,WHO GHO (interpolated from yearly),M
dengue,cases,IND,7/1/2019,15000,cases,WHO GHO (interpolated from yearly),M
dengue,cases,WLD,8/1/2019,350000,cases,WHO GHO (interpolated from yearly),M
dengue,cases,LKA,8/1/2019,8400,cases,WHO GHO (interpolated from yearly),M
dengue,cases,IND,8/1/2019,15000,cases,WHO GHO (interpolated from yearly),M
dengue,cases,WLD,9/1/2019,350000,cases,WHO GHO (interpolated from yearly),M
dengue,cases,LKA,9/1/2019,8400,cases,WHO GHO (interpolated from yearly),M
dengue,cases,IND,9/1/2019,15000,cases,WHO GHO (interpolated from yearly),M
