disease,metric,country_iso3,date,value,unit,source,freq
influenza,ILI_percent,WLD,1/1/2019,9.8,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,2/1/2019,10.5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,3/1/2019,7.2,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,4/1/2019,4,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,5/1/2019,2.5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,6/1/2019,1.8,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,7/1/2019,1.5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,8/1/2019,1.9,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,9/1/2019,2.3,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,10/1/2019,3.8,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,11/1/2019,6.5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,12/1/2019,9.2,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,1/1/2020,8.5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,2/1/2020,7.8,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,3/1/2020,4.3,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,4/1/2020,2,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,5/1/2020,1.2,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,6/1/2020,0.8,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,7/1/2020,0.6,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,8/1/2020,0.9,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,9/1/2020,1.1,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,10/1/2020,2.3,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,11/1/2020,4.6,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,12/1/2020,6,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,1/1/2021,5.4,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,2/1/2021,4.8,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,3/1/2021,3,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,4/1/2021,1.7,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,5/1/2021,1.1,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,6/1/2021,0.9,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,7/1/2021,0.7,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,8/1/2021,1,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,9/1/2021,1.4,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,10/1/2021,2.7,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,11/1/2021,5.3,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,12/1/2021,7.5,%,FluNet/CDC (seasonal estimate),M
