disease,metric,country_iso3,date,value,unit,source,freq
influenza,ILI_percent,LKA,1/1/2019,6.2,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,2/1/2019,4.8,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,3/1/2019,3.1,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,4/1/2019,2.5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,5/1/2019,3.9,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,6/1/2019,6.8,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,7/1/2019,7.4,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,8/1/2019,6.9,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,9/1/2019,4.2,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,10/1/2019,3.5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,11/1/2019,5.6,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,12/1/2019,7.3,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,1/1/2019,5.8,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,2/1/2019,4.3,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,3/1/2019,2.9,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,4/1/2019,2.1,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,5/1/2019,3.4,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,6/1/2019,6.3,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,7/1/2019,7,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,8/1/2019,6.5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,9/1/2019,3.9,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,10/1/2019,3,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,11/1/2019,5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,12/1/2019,6.7,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,1/1/2020,5.9,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,2/1/2020,4.6,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,3/1/2020,2.9,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,4/1/2020,2.1,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,5/1/2020,3.5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,6/1/2020,5.8,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,7/1/2020,6.3,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,8/1/2020,6.1,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,9/1/2020,3.8,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,10/1/2020,3.2,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,11/1/2020,4.8,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,12/1/2020,6.5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,1/1/2020,5.4,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,2/1/2020,4.1,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,3/1/2020,2.6,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,4/1/2020,1.9,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,5/1/2020,3,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,6/1/2020,5.2,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,7/1/2020,6,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,8/1/2020,5.8,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,9/1/2020,3.5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,10/1/2020,2.8,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,11/1/2020,4.6,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,IND,12/1/2020,6.2,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,1/1/2021,6.4,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,LKA,2/1/2021,4.9,%,FluNet/CDC (seasonal estimate),M
