disease,metric,country_iso3,date,value,unit,source,freq
covid,cases,WLD,1/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,2/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,3/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,4/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,5/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,6/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,7/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,8/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,9/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,10/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,11/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,12/1/2019,5000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,1/1/2020,50000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,2/1/2020,100000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,3/1/2020,1000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,4/1/2020,3000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,5/1/2020,6000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,6/1/2020,7000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,7/1/2020,8000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,8/1/2020,10000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,9/1/2020,12000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,10/1/2020,15000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,11/1/2020,20000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,12/1/2020,25000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,1/1/2021,30000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,2/1/2021,25000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,3/1/2021,35000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,4/1/2021,50000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,5/1/2021,45000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,6/1/2021,30000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,7/1/2021,25000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,8/1/2021,35000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,9/1/2021,30000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,10/1/2021,20000000,cases,OWID/disease.sh monthly (summarized),M
