disease,metric,country_iso3,date,value,unit,source,freq
covid,cases,LKA,1/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,2/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,3/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,4/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,5/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,6/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,7/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,8/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,9/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,10/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,11/1/2019,0,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,12/1/2019,10,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,1/1/2020,50,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,2/1/2020,150,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,3/1/2020,600,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,4/1/2020,1200,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,5/1/2020,900,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,6/1/2020,700,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,7/1/2020,500,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,8/1/2020,600,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,9/1/2020,800,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,10/1/2020,1200,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,11/1/2020,3000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,12/1/2020,4500,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,1/1/2021,5000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,2/1/2021,4000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,3/1/2021,8000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,4/1/2021,15000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,5/1/2021,30000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,6/1/2021,50000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,7/1/2021,75000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,8/1/2021,120000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,9/1/2021,80000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,10/1/2021,40000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,11/1/2021,20000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,12/1/2021,15000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,1/1/2022,90000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,2/1/2022,70000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,3/1/2022,40000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,4/1/2022,20000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,5/1/2022,10000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,6/1/2022,8000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,7/1/2022,6000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,8/1/2022,7000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,9/1/2022,5000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,10/1/2022,3000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,11/1/2022,2000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,12/1/2022,1500,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,1/1/2023,1200,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,2/1/2023,800,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,3/1/2023,600,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,4/1/2023,500,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,5/1/2023,400,cases,OWID/disease.sh monthly (summarized),M
covid,cases,LKA,6/1/2023,350,cases,OWID/disease.sh monthly (summarized),M
